Release Tag,Published At,Commit SHA,Commit Message,Author,Commit Date
v0.8.0,2020-12-16T17:40:49Z,8f833f4e8f0d34fb1b87533f90a60a6b3cffb67c,Merge pull request #10618 from ethereum/develop,chriseth,2020-12-16T11:34:41Z
v0.8.0,2020-12-16T17:40:49Z,e347545597816c62ec1b9a6d5e2f78e704acef19,Merge pull request #10625 from ethereum/reportIllegalTokens,chriseth,2020-12-16T11:34:20Z
v0.8.0,2020-12-16T17:40:49Z,cd7795f9e40fcf0e3d2c0b453acf5c1e03d27dcd,Merge pull request #10624 from ethereum/sortChangelog,chriseth,2020-12-16T11:24:10Z
v0.8.0,2020-12-16T17:40:49Z,5c40fb060c800297c1dfe9e941b94153e369ae9c,Report illegal tokens in the Yul parser.,chriseth,2020-12-16T11:17:13Z
v0.8.0,2020-12-16T17:40:49Z,d8aff53771a228ac0cba978c0d4904d371942b7f,Sort changelog.,chriseth,2020-12-16T11:05:28Z
v0.8.0,2020-12-16T17:40:49Z,b764e06c762db1219e3c3e059c9d501ea1065aeb,Merge pull request #10621 from ethereum/smt_fix_breaking_again,Alex Beregszaszi,2020-12-15T20:30:37Z
v0.8.0,2020-12-16T17:40:49Z,59428b8f76e2c3300f445e05046bbc0174f84d78,Fix SMTChecker tests on breaking,Leonardo Alt,2020-12-15T18:49:57Z
v0.8.0,2020-12-16T17:40:49Z,3881d223b033dd270c92be28478386a78306887f,Merge pull request #10617 from ethereum/codegen-fixed-assert,chriseth,2020-12-15T18:25:51Z
v0.8.0,2020-12-16T17:40:49Z,cad4f740126e5cfc171b74c4795de8ccbe6fdeb8,Unary minus is not implemented for fixed point type,Alex Beregszaszi,2020-12-11T23:54:14Z
v0.8.0,2020-12-16T17:40:49Z,17293858c0a524badbdf35ecaaa6c9832a43dc45,Merge pull request #10326 from ethereum/unicode-directional-marks,chriseth,2020-12-15T17:54:29Z
v0.8.0,2020-12-16T17:40:49Z,381c63ec9944cbb691399409398e9fbb3a206c6d,Scanner: Generate error on inbalanced RLO/LRO/PDF override markers.,Christian Parpart,2020-11-18T13:35:16Z
v0.8.0,2020-12-16T17:40:49Z,6c7e6a3c9f89de5f0d949118e0085a6ae10a2bac,Merge pull request #10615 from ethereum/develop,chriseth,2020-12-15T17:34:01Z
v0.8.0,2020-12-16T17:40:49Z,53368eff9b744a57f92fc0f9e39ae7f418f3478f,Merge pull request #10604 from ethereum/strict-address-payable,chriseth,2020-12-15T17:25:31Z
v0.8.0,2020-12-16T17:40:49Z,67b7267735e89238d652a06dcaf5dc6423dec61a,Merge pull request #10613 from ethereum/fix-10609,chriseth,2020-12-15T17:21:54Z
v0.8.0,2020-12-16T17:40:49Z,b45a5d76058fbca6cd95aa259a700e1675e8de74,Asmanalysis: Add test case that demonstrates bug,Bhargava Shastry,2020-12-15T16:57:11Z
v0.8.0,2020-12-16T17:40:49Z,1521e9e4d52f1fd202542b00fbcf2184afe1b979,Merge pull request #10611 from ethereum/fix-10609,chriseth,2020-12-15T15:42:27Z
v0.8.1,2021-01-27T13:00:27Z,df193b15c2dfb4ea10b2c2fb4c2baea953edb138,Merge pull request #10852 from ethereum/setReleaseDate,chriseth,2021-01-27T12:12:43Z
v0.8.1,2021-01-27T13:00:27Z,490dc09fd4ba6abdf87b375df51455ca245eeb64,Set release date for 0.8.1.,chriseth,2021-01-27T10:29:46Z
v0.8.1,2021-01-27T13:00:27Z,34fa756fcf9b7d56d914008c7505c3acfb0f165d,Merge pull request #10853 from ethereum/fix-comment-breaking-build-emscripten-sh,chriseth,2021-01-27T10:51:17Z
v0.8.1,2021-01-27T13:00:27Z,b1f2d2994c38e50e174f71366373f2a73cf38084,Fix badly placed comment in build_emscripten.sh,Kamil Śliwak,2021-01-27T10:46:46Z
v0.8.1,2021-01-27T13:00:27Z,53f9a114408c9f73594a942f7b1b8289fa4f1376,"prepare_report: Handle internal compiler errors in Standard JSON as errors, not missing bytecode",Kamil Śliwak,2020-12-21T20:16:35Z
v0.8.1,2021-01-27T13:00:27Z,f7007ea324771addff6064e30aa8ef0acf2a647d,Add CLI version of bytecode compare to existing CI jobs,Kamil Śliwak,2020-12-22T09:08:04Z
v0.8.1,2021-01-27T13:00:27Z,7f19339934af13248adffadebcb8fb539ddbf92a,prepare_report.py: Add support for switching between CLI and Standard JSON compiler interfaces,Kamil Śliwak,2020-12-22T02:03:17Z
v0.8.1,2021-01-27T13:00:27Z,38d1ec3efe2932302b4555f0e5df83d7c6e9d902,Merge pull request #10835 from blishko/smt-assembly,Leonardo,2021-01-26T21:35:25Z
v0.8.1,2021-01-27T13:00:27Z,6eebd6538c665a18b704b5b92dac685e4828a5a2,Merge pull request #10834 from ethereum/solidity-generator-test-source-pragma,Bhargava Shastry,2021-01-26T17:16:46Z
v0.8.1,2021-01-27T13:00:27Z,484e67815af9f9679e6e8d8cc1abb28323957c74,[SMTChecker] Basic support for inline assembly using over-approximating analysis,Martin Blicha,2021-01-18T09:37:09Z
v0.8.1,2021-01-27T13:00:27Z,be733d5f61d5a661fc5e1fec22bb1190c2d26ef7,Reorganized code for better readability.,Bhargava Shastry,2021-01-26T15:11:18Z
v0.8.1,2021-01-27T13:00:27Z,f5e0faaa37998bd828d3b2357bbb888ff0fabb07,Add documentation and/or comments.,Bhargava Shastry,2021-01-25T13:01:43Z
v0.8.1,2021-01-27T13:00:27Z,d7e3d3f75f8496b6a69fc02a54a9f976a0376516,Add visitors for automatic test case generation.,Bhargava Shastry,2021-01-21T16:53:22Z
v0.8.1,2021-01-27T13:00:27Z,2f2d2224b18f9b86008a96e88ce615ae6ee300f9,Merge pull request #10849 from ethereum/fixMergeConflict,chriseth,2021-01-26T14:14:08Z
v0.8.1,2021-01-27T13:00:27Z,e9dc9c5baf6d5657d5cafd79c9053b3baae1472f,Fix merge conflict.,chriseth,2021-01-26T12:53:22Z
v0.8.1,2021-01-27T13:00:27Z,c35fdda2ec8082f8e2c34ed8466271e431750176,Merge pull request #10844 from ethereum/smt_z3_docker_4_18_10,Leonardo,2021-01-26T12:05:50Z
v0.8.1,2021-01-27T13:00:27Z,4697beeab2742a09f15de25228d4493dcf3282d1,Merge pull request #10769 from ethereum/allocationCleanup,chriseth,2021-01-26T10:58:11Z
v0.8.1,2021-01-27T13:00:27Z,6488dd5b96ae02262d5893f48daebbfa2b3ab2ba,Merge pull request #10843 from ethereum/updatez3ppa,Leonardo,2021-01-26T10:40:30Z
v0.8.1,2021-01-27T13:00:27Z,fbfcb4e71ddd31f952a67d9eedb3d9d2ea9d92aa,Bump docker for z3 4.8.10,Leonardo Alt,2021-01-25T10:50:05Z
v0.8.1,2021-01-27T13:00:27Z,22ad64a0fdcc4886b043dc73e38bf23b9c13192b,Merge pull request #10845 from ethereum/smt_z3_4-8-10,Leonardo,2021-01-26T10:37:03Z
v0.8.1,2021-01-27T13:00:27Z,b01110ee16baad1dfa3dc231d9802efd32739780,Merge pull request #10803 from ethereum/shortcut-code-length,chriseth,2021-01-26T10:20:22Z
v0.8.1,2021-01-27T13:00:27Z,133bc729708d07ab4eb72fd9e00d817a294f0926,Tests and changelog for <address>.code.length shortcut,hrkrshnn,2021-01-21T19:28:35Z
v0.8.1,2021-01-27T13:00:27Z,526ceec152865fef225e919a8d486664a16f3762,Implement IR shortcut for <address>.code.length,hrkrshnn,2021-01-21T19:26:01Z
v0.8.1,2021-01-27T13:00:27Z,d6d880dc53c8615589b3077ba5339376ade92089,Old codegen: implemented shortcut for <address>.code.length,hrkrshnn,2021-01-21T19:28:06Z
v0.8.1,2021-01-27T13:00:27Z,40221a90c41fe626ced3c0e93323fdec4ac76c51,Update smtCheckerTests for z3 4.8.10,Leonardo Alt,2021-01-25T11:03:06Z
v0.8.1,2021-01-27T13:00:27Z,2bf85ea44f0f082e0f642fc6d4521d2a6e53ce5c,Merge pull request #10848 from ethereum/sortChangelog,chriseth,2021-01-26T08:57:51Z
v0.8.1,2021-01-27T13:00:27Z,fbd10585c5220f416510060b641bfb7444a0a2af,Sort changelog.,chriseth,2021-01-26T08:25:54Z
v0.8.1,2021-01-27T13:00:27Z,de0a3b989d09cdaa3545b325c66b75e0bf9137ce,Merge pull request #10783 from ethereum/circular-constant-variable,chriseth,2021-01-26T08:24:24Z
v0.8.1,2021-01-27T13:00:27Z,ec57c791ef9dbf649f92169dfd7b68cedaafcc51,Fix infinite loop when accessing circular constants from inline assembly.,hrkrshnn,2021-01-15T15:05:40Z
v0.8.1,2021-01-27T13:00:27Z,9fc3d8861793360ced59cf479f231d23cf510e60,Merge pull request #10826 from ethereum/issue-10821,chriseth,2021-01-26T08:16:13Z
v0.8.2,2021-03-02T19:28:44Z,ed95becb29807855d51164fb507c4af0885665ac,Set version to 0.8.3.,chriseth,2021-03-02T16:55:06Z
v0.8.2,2021-03-02T19:28:44Z,661d11035b871aa1624bf568e3d476ef1bf25895,Merge pull request #11029 from ethereum/setreleasedatefor082,chriseth,2021-03-02T15:54:34Z
v0.8.2,2021-03-02T19:28:44Z,26d8ee2f8603374d961e2371257d8b96d5a1fc41,Set release date and sort changelog.,chriseth,2021-03-02T13:08:54Z
v0.8.2,2021-03-02T19:28:44Z,cc88fd25e95436d8e2d684d637cfc76683e65b82,Merge pull request #11016 from ethereum/customNatspec,chriseth,2021-03-02T15:53:44Z
v0.8.2,2021-03-02T19:28:44Z,ecdeb417c5198910023a3e2fe0f90996d9c12fd8,Documentation.,chriseth,2021-03-02T15:12:12Z
v0.8.2,2021-03-02T19:28:44Z,d2023f5f95d272e5125bdd834c1930d0507f645e,Check for invalid tags.,chriseth,2021-03-01T16:13:28Z
v0.8.2,2021-03-02T19:28:44Z,5690020d88e314986cbfd06e2cb373592803cbf3,Allow custom natspec tags.,chriseth,2021-02-25T12:57:34Z
v0.8.2,2021-03-02T19:28:44Z,2a25d04896d28130caaddbc29ee7e25e9b1d3ace,Merge pull request #11023 from ethereum/natspecparsinglocations,chriseth,2021-03-02T13:03:42Z
v0.8.2,2021-03-02T19:28:44Z,ce5c5970d60fa29c229454c78d19982f963d083a,Merge pull request #11015 from ethereum/fixSelectorForInternal,chriseth,2021-03-02T11:24:53Z
v0.8.2,2021-03-02T19:28:44Z,ad48b71318e23781b88f602281e865694068343d,Merge pull request #10899 from ethereum/evmhost_storage_trace,Bhargava Shastry,2021-03-01T21:06:16Z
v0.8.2,2021-03-02T19:28:44Z,e96a3e01f852134bc5911424cedef445d8dba75b,EVMHost: Add function to print storage at all addresses in the host.,Bhargava Shastry,2021-02-02T13:08:12Z
v0.8.2,2021-03-02T19:28:44Z,069ac9c9a9962fd8524a1e3b41d51c4837efaca8,Merge pull request #10878 from ethereum/refactor-solProtoFuzzer,Bhargava Shastry,2021-03-01T18:56:10Z
v0.8.2,2021-03-02T19:28:44Z,f4050e81c60f6e7f6644de873246ec2a48f2481a,Provide locations for docstring parsing errors.,chriseth,2021-03-01T15:54:21Z
v0.8.2,2021-03-02T19:28:44Z,5e94fce7dfcd86ac392168d9cb185a2dd868b13f,Provide selector for some internal functions.,chriseth,2021-02-25T10:54:09Z
v0.8.2,2021-03-02T19:28:44Z,44493ad42813f700cbee3cfd5389be105ff3e5d9,Merge pull request #11014 from ethereum/fixConstantsCallGraph,chriseth,2021-02-25T16:05:22Z
v0.8.2,2021-03-02T19:28:44Z,186d14d97fd1b306594b7d742557ea11d4a95ac6,"FunctionCallGraph: Tests for constants, immutables and accessing function selectors",Kamil Śliwak,2021-02-25T12:26:39Z
v0.8.2,2021-03-02T19:28:44Z,16db3a84f12b5e78fba410dbc7c6b231fabce4b9,Fix call graph with respect to constants.,chriseth,2021-02-25T10:46:59Z
v0.8.2,2021-03-02T19:28:44Z,eacf7c1cf98ea85c7acb97edd29c0f062940b96a,Merge pull request #11009 from ethereum/properlyParseAddressMember,chriseth,2021-02-24T16:12:00Z
v0.8.2,2021-03-02T19:28:44Z,3d97e9a77b6103639d9f9406b27241a41bed389b,Properly parse address member.,chriseth,2021-02-24T15:28:13Z
v0.8.2,2021-03-02T19:28:44Z,b0cc181c34d81e08493a9a865d5c063aa1b6dbac,Merge pull request #11004 from ethereum/mappingAccessMultiSlot,chriseth,2021-02-24T15:32:08Z
v0.8.2,2021-03-02T19:28:44Z,5e9637bc39f0ea209742aff0ad6bd3b15d57f614,Mapping access with multi-slot keys.,chriseth,2021-02-24T12:44:23Z
v0.8.2,2021-03-02T19:28:44Z,2d48052ae50017bc41d8c85f1628b97352e73dcb,Merge pull request #11003 from ethereum/ir-bug-incorrect-return-variable-count,chriseth,2021-02-24T12:24:31Z
v0.8.2,2021-03-02T19:28:44Z,6bc9056ced45c103358b8530cb958e86451dfaeb,Merge pull request #11000 from ethereum/fix-isdynamicallyencoded-for-structs-containing-internal-types,chriseth,2021-02-24T12:20:51Z
v0.8.2,2021-03-02T19:28:44Z,2c2c7a4473f8348766760febbba5cb401abfc990,Fix IR bug on deleting storage variables of function type.,hrkrshnn,2021-02-24T10:48:55Z
v0.8.2,2021-03-02T19:28:44Z,e87cd0afdfe37702d2a64037ef18254a2455684c,Check that there is an interface type before querying validity of location.,Kamil Śliwak,2021-02-23T15:43:29Z
v0.8.2,2021-03-02T19:28:44Z,58e09776470787e2f9e6052e0d7c29d8bcc1374c,Merge pull request #10994 from ethereum/remove-remains-of-ast-json-option,Harikrishnan Mulackal,2021-02-24T09:21:30Z
v0.8.2,2021-03-02T19:28:44Z,1220d8df7b364cd150626ee75522fe289bd01219,Merge pull request #10998 from ethereum/clean-up-function-external-type-tests,chriseth,2021-02-23T16:59:26Z
v0.8.2,2021-03-02T19:28:44Z,e33c058a60973597e76c448630eeefc261e8332e,Merge pull request #10896 from ethereum/issue-10870,chriseth,2021-02-23T16:49:17Z
v0.8.2,2021-03-02T19:28:44Z,92b52cbf84c37f2961814a029d1a93725e2b3dc2,Merge pull request #10999 from ethereum/hash-collision-throw,chriseth,2021-02-23T16:33:41Z
v0.8.2,2021-03-02T19:28:44Z,66d6d20f65e8f2d49f0e027073f7f2ca6e8727d4,Converted hash collision error into a fatal type error.,hrkrshnn,2021-02-23T16:00:44Z
v0.8.3,2021-03-23T12:35:16Z,f9182e9f8831d9a9fce3139793a5d6059e628efa,Minor changes to Solidity compilation framework fuzzer.,Bhargava Shastry,2021-03-23T12:15:11Z
v0.8.3,2021-03-23T12:35:16Z,8d00100c4e9d211830a5dbf6a1f964d98648480d,Merge pull request #11140 from ethereum/prepare083,chriseth,2021-03-23T11:56:28Z
v0.8.3,2021-03-23T12:35:16Z,a32e2e2130b698bc64925bb53e0e7da89832bd3f,Prepare changelog for 0.8.3.,chriseth,2021-03-23T11:16:17Z
v0.8.3,2021-03-23T12:35:16Z,145a03bdd6b4a787b9bb05a97de4967ee230a059,Run SMTChecker tests on all EVM versions,Martin Blicha,2021-03-23T11:19:34Z
v0.8.3,2021-03-23T12:35:16Z,88d340f279f6c338dde6b2d551fe5aba547a2ae0,Merge pull request #11134 from ethereum/fix-keccak-bug,chriseth,2021-03-23T11:15:30Z
v0.8.3,2021-03-23T12:35:16Z,e197ebbdd1baedf0c95041dc4d964176bc5a8ace,Replace `TypePointer` with `Type const*`,Mathias Baumann,2021-03-22T16:12:05Z
v0.8.3,2021-03-23T12:35:16Z,30e08ee3a538aab9873c86c580424e9b6760ebcf,Changelog and test for the KeccakCaching bug,hrkrshnn,2021-03-22T09:05:13Z
v0.8.3,2021-03-23T12:35:16Z,2ecb20589bb4099ac7ee9afd50da254e3bf28104,Fix bug about incorrect caching on Keccak256 hashes,hrkrshnn,2021-03-22T08:39:19Z
v0.8.3,2021-03-23T12:35:16Z,21e365321dd1ee0e3d56aa3bd159ae5764768ae3,Merge pull request #11137 from ethereum/disableNodiscardBimap,chriseth,2021-03-23T09:47:01Z
v0.8.3,2021-03-23T12:35:16Z,f38274d94da2d4a0c6abea12e5228b1f30f38b31,Disable nodiscard warning.,chriseth,2021-03-22T17:52:52Z
v0.8.3,2021-03-23T12:35:16Z,54cea090bf12908119a544f71feec6472e1682b0,Merge pull request #11124 from ethereum/extend-callgraph,chriseth,2021-03-22T14:45:55Z
v0.8.3,2021-03-23T12:35:16Z,bccedf791bf0561766d01480666c8bffb24a6dbd,Add creationCode/runtimeCode contract creation detection to call graph,Mathias Baumann,2021-03-11T14:22:33Z
v0.8.3,2021-03-23T12:35:16Z,8c583784c019f4daec908f100a38918ab7c39b6c,Merge pull request #11133 from ghidello/develop,chriseth,2021-03-22T14:02:34Z
v0.8.3,2021-03-23T12:35:16Z,66729a4ffe4c11fc24a0f89e0d524d497d548cd1,Merge pull request #11075 from ethereum/smt_tutorial,Leonardo,2021-03-22T10:46:36Z
v0.8.3,2021-03-23T12:35:16Z,b37723dc36bc25db386ab97373446311c4b58d20,[DOCS] Update OpenZeppelin's ECDSA contract URL,ghidello,2021-03-21T10:38:04Z
v0.8.3,2021-03-23T12:35:16Z,6e1d61a232369e18b5d502f60ebd84ff83973237,Merge pull request #11089 from ethereum/optimizeMulByConstantToShift,chriseth,2021-03-18T11:59:51Z
v0.8.3,2021-03-23T12:35:16Z,569afe711aa2d1902b2e726cb0b29c25e50ed30d,SMTChecker tutorial and docs cleanup,Leonardo Alt,2021-03-09T10:34:55Z
v0.8.3,2021-03-23T12:35:16Z,d18db638438525313e1d1c97b07a30ba2b1cc15b,Changelog entry.,chriseth,2021-03-11T13:51:35Z
v0.8.3,2021-03-23T12:35:16Z,baf2ff2a6e95961feccd56a00d633764d80f9fd6,Proof.,chriseth,2021-03-11T11:31:30Z
v0.8.3,2021-03-23T12:35:16Z,2c8540b1f9191cbff4b8aea6495de407b49d327b,Yul optimizer test updates.,chriseth,2021-03-11T11:18:50Z
v0.8.3,2021-03-23T12:35:16Z,7aa51bcb40578a95edc482ab1a4d4306725b11d3,Test updates.,chriseth,2021-03-11T11:17:50Z
v0.8.3,2021-03-23T12:35:16Z,4bfa7e088e677bfa81c26148a69c89c359e13d1d,Optimize multiplication by constant to shift.,chriseth,2021-03-11T10:30:22Z
v0.8.3,2021-03-23T12:35:16Z,e179d0aa4d3a3939d1b48e40b96aaf865d1a0a61,Merge pull request #11121 from ethereum/doc-natspec,chriseth,2021-03-17T16:25:48Z
v0.8.3,2021-03-23T12:35:16Z,b477a7d16375d426648389d47859179c252b902b,Document the version/kind fields in the natspec documentation,Alex Beregszaszi,2021-03-17T16:02:40Z
v0.8.3,2021-03-23T12:35:16Z,25b31111dff43cdf185e7339d410dfa33630acfc,Merge pull request #11040 from ethereum/smt_fix_virtual_one_more_time,Leonardo,2021-03-17T15:54:36Z
v0.8.3,2021-03-23T12:35:16Z,278053b4f2546dcd27125f7d241e24a6bf8715b8,Merge pull request #11117 from ethereum/gasmeter-fix-creation-calculation,chriseth,2021-03-17T12:15:12Z
v0.8.3,2021-03-23T12:35:16Z,6d9e9e1b1e06c820543a14afad21a12e9270a777,Fix small bug in GasMeter calculation in creation context,hrkrshnn,2021-03-17T10:12:28Z
v0.8.3,2021-03-23T12:35:16Z,35da404ca91f3c3408657d50440773b0faaefb93,Merge pull request #11091 from ethereum/modifierInvocationAST,Harikrishnan Mulackal,2021-03-16T18:44:40Z
v0.8.3,2021-03-23T12:35:16Z,6d8366967bb41a9a2155c0789234482f567be50f,Merge pull request #11112 from blishko/smt-small-refactor,Leonardo,2021-03-16T18:02:16Z
v0.8.3,2021-03-23T12:35:16Z,05194730596defb41a02503538fe1f9ecd538ff7,"Add ""kind"" field to ModifierInvocation AST json element.",chriseth,2021-03-11T13:39:27Z
v0.8.4,2021-04-21T13:51:48Z,c7e474f243fa6bd6d6c172118b95d52113b5fbad,Merge pull request #11279 from ethereum/changelog084,chriseth,2021-04-21T13:09:37Z
v0.8.4,2021-04-21T13:51:48Z,3aad6b239cdcea4edcdf5e02417b5632148c55bc,Prepare changelog for 0.8.4.,chriseth,2021-04-21T08:24:38Z
v0.8.4,2021-04-21T13:51:48Z,7bbf3a694b32139aeb3c1ac120f2d76b98fa7d90,Merge pull request #11261 from ethereum/smt_choose_target,Leonardo,2021-04-21T11:11:33Z
v0.8.4,2021-04-21T13:51:48Z,c3d73982ea3a8e066d75faedf9f553f3d6ff74fc,Merge pull request #11268 from ethereum/refactorByteArrayPopSol2Yul,chriseth,2021-04-21T11:05:00Z
v0.8.4,2021-04-21T13:51:48Z,e2120f1f2fa452321f9e19b14eb0f75597a5b4b0,Merge pull request #11272 from ethereum/replace-boost-with-rangev3-solgen,chriseth,2021-04-21T10:21:57Z
v0.8.4,2021-04-21T13:51:48Z,d03744489f7d709880286eb038fc03fe0dee93c4,Update cmdline tests.,Djordje Mijovic,2021-04-21T08:58:48Z
v0.8.4,2021-04-21T13:51:48Z,9fcf16900d63335cee1db8d247f2ebe74d4e1ee3,Update gas costs in smeantic tests.,Djordje Mijovic,2021-04-20T16:34:23Z
v0.8.4,2021-04-21T13:51:48Z,0dd59fa0a2ef067ee35c2620c405bac962c5d357,[Sol->Yul] Remove index access from byte array pop function to optimize it.,Djordje Mijovic,2021-04-20T16:06:06Z
v0.8.4,2021-04-21T13:51:48Z,dd1865873e2b399d48bf0459276dfc6e6c600e2e,Choose contracts to be analyzed by the SMTChecker,Leonardo Alt,2021-04-15T10:31:45Z
v0.8.4,2021-04-21T13:51:48Z,c3f639b355ef94b4db43998f3e305369f6a49b45,Merge pull request #11277 from ethereum/isoltest-trivial-reformatting,chriseth,2021-04-21T08:01:33Z
v0.8.4,2021-04-21T13:51:48Z,69dd1771b7732720b4efb5838423a9e6f6a9bd0b,Remove as many boost usages as possible in protoToYul.cpp,Bhargava Shastry,2021-02-04T17:07:13Z
v0.8.4,2021-04-21T13:51:48Z,417727056282748cee6e3e4227f390b95a6ab66f,Trivial isoltest updates: comments always on the same line,Alex Beregszaszi,2021-03-12T23:02:36Z
v0.8.4,2021-04-21T13:51:48Z,1be07c2b3642401d1fffa4ee13ec82a85ac6baa2,Trivial isoltest updates: missing // ---- at the end,Alex Beregszaszi,2021-03-12T23:02:36Z
v0.8.4,2021-04-21T13:51:48Z,84c05d35f3188ef72d86a342c554936148e35e8f,Trivial isoltest updates: normalized whitespace,Alex Beregszaszi,2021-03-12T23:02:36Z
v0.8.4,2021-04-21T13:51:48Z,45c6bbe02b67e7706b0530ccf2eea747589555a1,Trivial isoltest updates: directives sorted alphabetically,Alex Beregszaszi,2021-03-12T23:02:36Z
v0.8.4,2021-04-21T13:51:48Z,cf7f814a4e08484bf8738c80be839cb1f25de129,Merge pull request #10921 from ethereum/issue-10881,chriseth,2021-04-20T13:33:48Z
v0.8.4,2021-04-21T13:51:48Z,159d6f9efa639c835a4f28a659e3b91079b77d57,Merge pull request #11222 from ethereum/smt_free_functions,Leonardo,2021-04-19T19:25:05Z
v0.8.4,2021-04-21T13:51:48Z,a39a6e26daf7e33053c4e8b02101f7e894745a3d,update tests,Leonardo Alt,2021-04-19T16:02:48Z
v0.8.4,2021-04-21T13:51:48Z,80892c8a21c84494dc7d1c3b5b3f0fc57509e567,Fix nondeterminism,Leonardo Alt,2021-04-12T13:54:14Z
v0.8.4,2021-04-21T13:51:48Z,db1b630de54f5466143b1b3a35fd49d4053a4ff5,Changelog,Leonardo Alt,2021-04-12T11:48:31Z
v0.8.4,2021-04-21T13:51:48Z,36def3ef6ef3dce9687f3d61ecabbe3cd226a0a6,tests for free constants,Leonardo Alt,2021-04-12T11:47:24Z
v0.8.4,2021-04-21T13:51:48Z,fd8b4afb76e2bd42d591e84e41657907128dd4df,new free function tests,Leonardo Alt,2021-04-08T19:41:35Z
v0.8.4,2021-04-21T13:51:48Z,095d33714086880ded0f2ce2c7a8e4493e379613,Basic support to free constants,Leonardo Alt,2021-04-07T16:53:56Z
v0.8.4,2021-04-21T13:51:48Z,6ae82fcec2cbae20f2f8481ce5f2c2dd28df972e,Add tests for the library bug,Leonardo Alt,2021-04-07T15:16:31Z
v0.8.4,2021-04-21T13:51:48Z,4e343590635f98f7c1d0973e82f9bafc67e03466,Basic support to free functions,Leonardo Alt,2021-04-07T12:52:56Z
v0.8.4,2021-04-21T13:51:48Z,6a0a51110df42467fc43a48433d857db4c780d6a,Merge pull request #11256 from ethereum/smt_target_array,chriseth,2021-04-19T16:47:06Z
v0.8.4,2021-04-21T13:51:48Z,8d169d36152b9e3c8c3edca4981479bdfc86d163,Merge pull request #11236 from ethereum/fix-allowed-paths-with-stdin,chriseth,2021-04-19T16:03:05Z
v0.8.4,2021-04-21T13:51:48Z,e3abde43f58e8290b86886d192a72c771f608d26,Change settings.modelChecker.targets to take an array instead of string,Leonardo Alt,2021-04-14T10:56:43Z
v0.8.4,2021-04-21T13:51:48Z,0d4871ad105f7a41b6e5d624e4fdc5ebca37d07e,Prevent adding '-' CLI flag to allowed paths as if it was an actual file,Kamil Śliwak,2021-04-10T14:54:58Z
v0.8.4,2021-04-21T13:51:48Z,6ef7e39e46a0ac082ce1b3ee67872fa249d26b62,Merge pull request #11267 from ethereum/test_osx_cache,chriseth,2021-04-19T14:54:12Z
v0.8.5,2021-06-10T12:02:58Z,a4f2e591fe55900f86ab72fad37d03af7dfa638e,Merge pull request #11505 from ethereum/prepareChanegloge367,chriseth,2021-06-10T11:04:38Z
